species:ncbi:36911	Clavispora lusitaniae
species:ncbi:160396	Chryseobacterium defluvii 
species:ncbi:343564	sub Hermetiinae 
species:ncbi:146825	Halorhabdus
species:ncbi:1158191	virus Timbo
species:ncbi:116781	cyclocoelidae 
species:ncbi:2256	Natronobacterium 
species:ncbi:7388	Hypoderma
species:ncbi:1353	Enterococcus gallinarum 
species:ncbi:167078	Coloradia 
species:ncbi:44752	Tsukamurella wratislaviensis
species:ncbi:138948	enterovirus humano A
species:ncbi:832	s de Fibrobacter 
species:ncbi:55214	Brenneria salicis
species:ncbi:37032	suricata suricatta
species:ncbi:51859	Corallus
species:ncbi:43813	sub Simuliinae
species:ncbi:431677	Rhizobacter dauci 
species:ncbi:56781	cuervo común
species:ncbi:1112	Porphyrobacter neustonensis
species:ncbi:8671	serpiente negra australiana
species:ncbi:1472	Bacillus pabuli 
species:ncbi:245066	Sarcops
species:ncbi:204	Campylobacter showae
species:ncbi:111820	búho de anteojos
species:ncbi:226010	Aestuariibacter salexigens
species:ncbi:53335	de Pantoea
species:ncbi:9212	marbella 
species:ncbi:29087	Monachus 
species:ncbi:8477	Chrysemys 
species:ncbi:102226	Amycolatopsis albidoflavus 
species:ncbi:162	Treponema phagedenis
species:ncbi:188880	Eggerthella,  CJ88
species:ncbi:40209	gorrión de Brewer
species:ncbi:278024	Kazachstania bovina
species:ncbi:1736	Eubacterium limosum
species:ncbi:8682	Enhydrina schistosa 
species:ncbi:1639859	Hura polyandra
species:ncbi:2276	Pyrobaculum 
species:ncbi:85293	geldre
species:ncbi:169480	Rothia amarae 
species:ncbi:39709	Spironucleus 
species:ncbi:45357	Candida haemulonii 
species:ncbi:242445	Didelphostrongylus hayesi
species:ncbi:37056	Macronectes
species:ncbi:460173	Cyanoloxia
species:ncbi:54285	sub Oestrinae
species:ncbi:496829	Pirenella conica
species:ncbi:53633	Sulfobacillus acidophilus 
species:ncbi:60920	Sanguibacter keddieii
species:ncbi:140625	Lachnobacterium
species:ncbi:110196	Bitis atropos 
species:ncbi:4457	Arum 
species:ncbi:8703	Vipera 
species:ncbi:44609	Verpa bohemica
species:ncbi:43774	Syntrophus buswellii 
species:ncbi:9220	Picidae
species:ncbi:230603	Saccharomyces uvarum
species:ncbi:222991	Alkanindiges
species:ncbi:2052323	Hemileuca lucina
species:ncbi:4903	Torulopsis utilis
species:ncbi:9524	Chiropotes
species:ncbi:147646	Paralabrax maculatofasciatus
species:ncbi:140057	Roseospira marina
species:ncbi:16751	Houttuynia 
species:ncbi:42094	Ureaplasma diversum 
species:ncbi:9925	Capra hircus
species:ncbi:477	Moraxella (Moraxella) lacunata 
species:ncbi:10114	rata 
species:ncbi:9933	Gazella
species:ncbi:80811	sub Cystobacterineae 
species:ncbi:123235	Halospirulina 
species:ncbi:44515	Pelomedusidae 
species:ncbi:10345	virus 1 del herpes porcino 
species:ncbi:5667	Leishmania aethiopica
species:ncbi:9705	Odobenidae
species:ncbi:54333	Etheostoma lepidum 
species:ncbi:211675	pava crestada 
species:ncbi:361449	Rainbow bee-eater
species:ncbi:254247	Aquicella siphonis 
species:ncbi:85009	sub Propionibacterineae
species:ncbi:81368	Lampridae - pez luna
species:ncbi:13122	Lymantria 
species:ncbi:28236	Petrotoga
species:ncbi:66226	Phaeoannellomyces elegans
species:ncbi:115544	Parasporobacterium paucivorans
species:ncbi:173041	Amphibacillus fermentum 
species:ncbi:173331	Trachinotus falcatus 
species:ncbi:13689	Flavobacterium devorans 
species:ncbi:146616	Phalacrocorax bougainvillii
species:ncbi:1239592	Capillaria hepatica
species:ncbi:239374	Cymbirhynchus macrorhynchos
species:ncbi:53328	Desulfospira 
species:ncbi:46904	silbador dorado 
species:ncbi:48276	Aegotheles 
species:ncbi:109446	córvido piñonero 
species:ncbi:1310336	Atylotus 
species:ncbi:6133	Pennatulacea
species:ncbi:28688	Alca 
species:ncbi:65665	Acanthamoeba tubiashi
species:ncbi:63821	Penicillium daleae 
species:ncbi:51909	Pyrrhura
species:ncbi:8663	Notechis scutatus
species:ncbi:4000	buxaceae - boj 
species:ncbi:30546	Mephitus
species:ncbi:411575	manjua
species:ncbi:20685	Indigofera 
species:ncbi:6950	Pyemotes tritici
species:ncbi:449839	Dryopteris marginalis 
species:ncbi:10405	virus del  Hepatitis B 
species:ncbi:90312	Boletus unicolor
species:ncbi:290	Pseudomonas carboxydohydrogena 
species:ncbi:56330	Accipiter striatus
species:ncbi:11990	Levivirus
species:ncbi:1070782	róbalo de aletas amarillas
species:ncbi:43064	Trichococcus pasteurii
species:ncbi:9573	langur
species:ncbi:1612	Lactobacillus farciminis 
species:ncbi:69721	Zantedeschia aethiopica 
species:ncbi:72087	Sebastes miniatus
species:ncbi:43163	Sylvia curruca 
species:ncbi:391211	Uroconger syringinus
species:ncbi:91785	barbudo tucán
species:ncbi:37057	fulmar gigante 
species:ncbi:6937	Ornithodoros, SAI
species:ncbi:219186	Adenia volkensii
species:ncbi:1541	Clostridium myombei 
species:ncbi:13446	conio
species:ncbi:1673725	Peptoniphilus lacydonensis 
species:ncbi:72093	Sebastes paucispinis 
species:ncbi:6752	infra Brachyura 
species:ncbi:299684	Gopher frog 
species:ncbi:274786	Liparis mucosus
species:ncbi:227231	Himantopus mexicanus
species:ncbi:7855	Hexanchidae - tiburón gris
species:ncbi:292628	Anaerolineaceae 
species:ncbi:2023260	s de Megasphaera 
species:ncbi:76759	Pseudomonas monteilii
species:ncbi:363840	Inquilinus ginsengisoli
species:ncbi:279947	agachona común 
species:ncbi:71005	Myrmecophaga 
species:ncbi:27778	pez gato grisáceo
species:ncbi:113561	Actinoplanes deccanensis 
species:ncbi:88431	Dorea longicatena
species:ncbi:2303730	Prochlorotrichaceae 
species:ncbi:6333	Trichinella, SAI
species:ncbi:279810	Thiobacter subterraneus 
species:ncbi:55505	Thermonema rossianum
species:ncbi:8429	Eastern narrow-mouthed toad 
species:ncbi:1747618	Dipetalonema evansi
species:ncbi:7553	chilognatha
species:ncbi:243627	Hydrocarboniphaga 
species:ncbi:2006155	Pamphobeteus
species:ncbi:490246	Ariomma bondi
species:ncbi:57077	Dicrocoelium, SAI
species:ncbi:104397	de Epicoccum 
species:ncbi:176060	Trichoglossus ornatus 
species:ncbi:2195	Methanogenium
species:ncbi:29559	Mycoplasma hyosynoviae 
species:ncbi:33758	ecovirus humano
species:ncbi:471280	Eimeria piriformis 
species:ncbi:108486	Corynebacterium falsenii
species:ncbi:5262	Pucciniaceae 
species:ncbi:8683	Hydrophis
species:ncbi:746333	Pimelea prostrata
species:ncbi:225143	Oceanisphaera
species:ncbi:37817	Desulfuromusa 
species:ncbi:5307	Phlebia
species:ncbi:10405	virus del  Hepatitis B
species:ncbi:48891	Parus atricapillus
species:ncbi:5594	Microascus
species:ncbi:57400	chotacabra Cuerprihuiu
species:ncbi:62198	eufonia
species:ncbi:86965	Anguilla nebulosa
species:ncbi:176517	Bahia oppositifolia 
species:ncbi:28894	Streptomyces nitrosporeus 
species:ncbi:32008	Burkholderia 
species:ncbi:60470	Loriculus 
species:ncbi:4013	Rhus verniciflua 
species:ncbi:181100	Panurus
species:ncbi:33084	Entamoebidae 
species:ncbi:33612	zamuro de cabeza amarilla
species:ncbi:1980467	virus Dobrava
species:ncbi:158200	Etheostoma tippecanoe 
species:ncbi:245042	estornino soberbio
species:ncbi:1903720	bacilos 
species:ncbi:45303	Alternaria infectoria
species:ncbi:9520	mono del musgo
species:ncbi:8604	Acanthophis
species:ncbi:385036	murciélago de Indiana
species:ncbi:231010	Microsporum racemosum 
species:ncbi:161932	Otaria byronia
species:ncbi:65497	Actinoalloteichus cyanogriseus 
species:ncbi:9796	Equus caballus 
species:ncbi:1225672	Lonchocarpus sericeus 
species:ncbi:13451	Corylus avelana 
species:ncbi:66219	Clostridium phytofermentans
species:ncbi:28081	de Bordetella
species:ncbi:7810	Carcharhinus porosus
species:ncbi:100588	Austrobilharzia variglandis 
species:ncbi:1649295	Franconibacter
species:ncbi:1492	Clostridium butyricum 
species:ncbi:9242	trochilidae
species:ncbi:241774	Lamprotornis iris
species:ncbi:190281	Besnoitia darlingi
species:ncbi:125288	Ornithinimicrobium humiphilum 
species:ncbi:704175	flamenco enano
species:ncbi:9335	Phalangeridae
species:ncbi:535	Chromobacterium
species:ncbi:1302	Streptococcus gordonii 
species:ncbi:53456	Propioniferax
species:ncbi:33976	Caryophanon
species:ncbi:144185	Leifsonia aquatica 
species:ncbi:308097	Apogon quadrisquamatus 
species:ncbi:41812	Chaoborus
species:ncbi:45803	Anthus pratensis 
species:ncbi:169055	Nordella
species:ncbi:2006	Thermobispora bispora 
species:ncbi:42712	filandro
species:ncbi:55879	super rhabditoidea 
species:ncbi:490246	Ariomma bondi 
species:ncbi:135588	Histomonas meleagridis
species:ncbi:9008	Callipepla
species:ncbi:6917	Phoneutria 
species:ncbi:46835	trematodo hepático gigante
species:ncbi:459763	Stilezia globipunctata
species:ncbi:28629	Piophilidae
species:ncbi:136503	Aratinga mitrata
species:ncbi:127946	zorzal común
species:ncbi:335854	Nigrospora oryzae
species:ncbi:1736691	Aeromicrobium choanae 
species:ncbi:85682	Bacillus arseniciselenatis
species:ncbi:911	de Nitrobacter
species:ncbi:126673	Mycobacterium doricum
species:ncbi:39172	Nepeta 
species:ncbi:513045	Dioctophyme renale 
species:ncbi:181542	agutí con cola
species:ncbi:40051	virus de la lengua azul
species:ncbi:9162	pita
species:ncbi:747541	Hamigera insecticola 
species:ncbi:83339	Eubacterium multiforme
species:ncbi:675609	Nevskia terrae 
species:ncbi:30609	Galago moholi
species:ncbi:176533	Florestina
species:ncbi:49447	Halochromatium salexigens 
species:ncbi:56303	Tauraco
species:ncbi:2169996	virus Amapari 
species:ncbi:9359	armadillo 
species:ncbi:1182015	Malacanthus plumieri 
species:ncbi:33958	Lactobacillaceae
species:ncbi:1873862	Echinostoma cinetorchis
species:ncbi:256326	Psychrobacter arenosus 
species:ncbi:75840	Anas cyanoptera 
species:ncbi:784	Orientia tsutsugamushi
species:ncbi:10041	Peromyscus leucopus
species:ncbi:67081	Mycobacterium alvei 
species:ncbi:334858	Goodfellowiella coeruleoviolacea 
species:ncbi:252179	Chaetomium microascoides
species:ncbi:71657	Erwinia quercina 
species:ncbi:54011	Pseudonocardia sulfidoxydans 
species:ncbi:1161	Nostocales 
species:ncbi:274762	Icelinus filamentosus
species:ncbi:239374	pico ancho negro y rojo 
species:ncbi:4911	Candida pseudotropicalis
species:ncbi:230666	Chitinibacter
species:ncbi:299629	Aedes luteocephalus 
species:ncbi:132473	Streptomyces alboniger 
species:ncbi:2926	Gonyaulax tamarensis 
species:ncbi:363776	Corydon 
species:ncbi:2299	Desulfosarcina 
species:ncbi:9247	Turnix 
species:ncbi:47959	Thiobacillus aquaesulis
species:ncbi:451376	de Aspiculuris 
species:ncbi:430040	Eumicrotremus spinosus 
species:ncbi:94181	arctogalidia 
species:ncbi:53467	de Mesocestoides 
species:ncbi:1166	Anabaena flos - aquae 
species:ncbi:713	Actinobacillus
species:ncbi:28732	Vireo
species:ncbi:48463	Prosthecobacter 
species:ncbi:86545	Fusarium chlamydosporum 
species:ncbi:83156	glycyphagidae
species:ncbi:258533	Mycobacterium cosmeticum 
species:ncbi:165403	Cortinarius semisanguineus 
species:ncbi:634159	Sphingobacterium cladoniae 
species:ncbi:273528	Exiguobacterium marinum 
species:ncbi:103836	Thermopolyspora flexuosa 
species:ncbi:46176	Actinomadura polychroma
species:ncbi:36227	mono de DeBrazza
species:ncbi:53429	Nocardia flavorosea
species:ncbi:8798	struthioniformes 
species:ncbi:35258	virus del papiloma oral de los perros 
species:ncbi:66444	Oreotragus oreotragus
species:ncbi:10205	briozoario
species:ncbi:470064	Toxicocladosporium irritans 
species:ncbi:173959	Brevibacillus invocatus
species:ncbi:68175	Streptomyces antimycoticus
species:ncbi:68898	Streptomyces echinoruber 
species:ncbi:158786	Lyngbya majuscula
species:ncbi:242442	Crenosoma, SAI
species:ncbi:40117	Nitrospirae 
species:ncbi:1093900	Phialemonium curvatum
species:ncbi:28073	Lyngbya 
species:ncbi:431043	Holospora elegans
species:ncbi:466120	Chaetodon ocellatus
species:ncbi:315946	Scedosporium aurantiacum 
species:ncbi:1637	Listeria 
species:ncbi:252803	Trichosporon mycotoxinivorans
species:ncbi:142786	Norovirus
species:ncbi:683153	Chryseomicrobium imtechense
species:ncbi:421767	Bacillus butanolivorans 
species:ncbi:910345	Aceraceae
species:ncbi:37169	sub Aepycerotinae 
species:ncbi:112832	Galphimia 
species:ncbi:6656	artrópodo 
species:ncbi:91943	Hortaea werneckii
species:ncbi:637534	Symphurus plagiusa 
species:ncbi:217140	Arcicella
species:ncbi:285515	Streptomyces albospinus 
species:ncbi:693997	alfacoronavirus 1
species:ncbi:591962	Aeromonas fluvialis 
species:ncbi:267976	Padda oryzivora
species:ncbi:172827	Meiothermus taiwanensis
species:ncbi:9973	pangolín
species:ncbi:319451	Tactostoma macropus 
species:ncbi:33030	Peptostreptococcus indolicus
species:ncbi:57381	ramphastidae 
species:ncbi:452756	Pseudolynchia
species:ncbi:8892	Apodiformes 
species:ncbi:397307	pita india
species:ncbi:10405	virsu del  de la hepatitis B 
species:ncbi:28209	Chelatococcus
species:ncbi:363777	Corydon sumatranus 
species:ncbi:63743	Natronomonas
species:ncbi:44607	Verpa
species:ncbi:29284	Halorubrum trapanicum
species:ncbi:83551	s de Parachlamydia 
species:ncbi:209	Helicobacter 
species:ncbi:73029	Dechloromonas
species:ncbi:129035	Ablennes hians 
species:ncbi:135430	Eremophila alpestris
species:ncbi:119000	Halomonas muralis
species:ncbi:45800	Anthus campestris 
species:ncbi:35833	Bilophila wadsworthia
species:ncbi:126734	Methanofollis aquaemaris
species:ncbi:515524	Glossina pallicera
species:ncbi:1056	Thiocapsa 
species:ncbi:228248	lofóforo resplandeciente
species:ncbi:134034	Corynebacterium freneyi 
species:ncbi:132908	Pteropus vampyrus 
species:ncbi:574699	Laceyella tengchongensis 
species:ncbi:2269	Thermofilum pendens
species:ncbi:90627	Gallionellaceae
species:ncbi:758	Pasteurella pneumotropica
species:ncbi:6102	sub Zoantharia 
species:ncbi:160454	Enterococcus pallens 
species:ncbi:227171	Burhinus superciliaris 
species:ncbi:11137	Coronavirus 229E
species:ncbi:1778	Mycobacterium aquae (concepto no activo)
species:ncbi:372289	carpodaco de Finch
species:ncbi:5777	de Hartmannella 
species:ncbi:54578	Cyanocorax
species:ncbi:1306	s de Streptococcus
species:ncbi:156568	Remiz
species:ncbi:176049	tricogloso de pecho rojo 
species:ncbi:29389	Streptococcus intestinalis 
species:ncbi:118966	Anaerorhabdus
species:ncbi:7778	elasmobranquio
species:ncbi:93065	Sphingopyxis taejonensis 
species:ncbi:55879	super Rhabditoidea
species:ncbi:156567	carbonero garrapinos 
species:ncbi:81393	trachipteridae - anguileta de mar 
species:ncbi:13076	Globicatella sanguinis 
species:ncbi:141827	Corynosoma strumosum 
species:ncbi:166768	gobio ciego
species:ncbi:240521	Rhizobium daejeonense 
species:ncbi:175570	Virgisporangium aurantiacum 
species:ncbi:94915	Synodus intermedius 
species:ncbi:887861	Erythrophleum chlorostachys 
species:ncbi:6193	Opisthorchiida 
species:ncbi:445220	Reyranella massiliensis 
species:ncbi:9377	musaraña de almizcle
species:ncbi:93220	Pandoraea pnomenusa 
species:ncbi:1780	Mycobacterium malmoense
species:ncbi:90730	Desulfobacterium cetonicum
species:ncbi:43911	tribu Stomoxyini
species:ncbi:172412	Sialia
species:ncbi:183601	Regina 
species:ncbi:176114	Microgale 
species:ncbi:91778	tucán aracari
species:ncbi:203763	Trichodesma 
species:ncbi:7096	lasiocampidae
species:ncbi:37044	Phaethon
species:ncbi:33984	Luteococcus japonicus
species:ncbi:27585	Chlamydoselachus anguineus 
species:ncbi:1392	Bacillus anthracis 
species:ncbi:39639	Narcissus pseudo - narcissus (organismo vivo)
species:ncbi:10157	Myocastor coypus
species:ncbi:10891	Reovirus 
species:ncbi:133453	Caldilinea aerophila
species:ncbi:176292	Lactobacillus malefermentans 
species:ncbi:82525	Guehomyces pullulans
species:ncbi:284566	Culex taeniopus 
species:ncbi:488	Neisseria mucosa
species:ncbi:417921	Etheostoma cragini 
species:ncbi:58066	Epomophorus
species:ncbi:27770	Trichiuridae 
species:ncbi:11976	virus de la enfermedad hemorrágica de los conejos
species:ncbi:120652	Methylocella 
species:ncbi:260364	Shewanella marisflavi
species:ncbi:8906	Charadriiformes
species:ncbi:48167	Capra falconeri
species:ncbi:5774	Amoeba
species:ncbi:83770	Succinivibrio 
species:ncbi:113567	Actinoplanes italicus
species:ncbi:279573	Agromyces humatus
species:ncbi:203536	Moesziomyces parantarcticus
species:ncbi:61305	Nocardiopsis synnemataformans
species:ncbi:129050	Hemiramphus brasiliensis
species:ncbi:32535	Acinonyx
species:ncbi:110682	garza celeste
species:ncbi:45553	Candida galacta
species:ncbi:147571	Piedraiaceae
species:ncbi:49204	Haemaphysalis punctata
species:ncbi:1506506	paragüero del pacífico
species:ncbi:133194	Alkalilimnicola halodurans 
species:ncbi:109168	Desulfotalea
species:ncbi:111834	piscardo de mandíbula plateada
species:ncbi:319431	cubera de Amarillo
species:ncbi:28231	Trichlorobacter
species:ncbi:192814	Halobacillus salinus 
species:ncbi:524891	Apostomatida
species:ncbi:321318	Dietzia cinnamea 
species:ncbi:9309	Pototous
species:ncbi:63742	Natrialba 
species:ncbi:48399	Crocodylus acutus
species:ncbi:40571	Lentzea albidocapillata
species:ncbi:9161	pítidos
species:ncbi:330770	Abroscopus
species:ncbi:8920	Falconiformes
species:ncbi:1052096	Cladosporium halotolerans 
species:ncbi:67556	Rhinichthys atratulus
species:ncbi:816	Bacteroides
species:ncbi:1904031	Holospora caryophila 
species:ncbi:201096	Alicycliphilus
species:ncbi:1219335	cucal senegalés 
species:ncbi:105258	Ammocrypta pellucida 
species:ncbi:161879	Corynebacterium kroppenstdtii 
species:ncbi:764833	gobio azul
species:ncbi:110681	Snowy egret
species:ncbi:5714	Herpetomonas, SAI
species:ncbi:13370	Brettanomyces naardenensis
species:ncbi:39959	Parotia 
species:ncbi:37613	Vidua
species:ncbi:9697	Herpestidae
species:ncbi:51340	Aplodontiidae
species:ncbi:34017	Rhodobium orientis
species:ncbi:1379	Gemella haemolysans
species:ncbi:10158	Octodontidae
species:ncbi:53731	Salmea
species:ncbi:9261	Australian echidna 
species:ncbi:1678	Bifidobacterium
species:ncbi:235899	Nautiliales
species:ncbi:34434	lepiota lisa
species:ncbi:105425	Streptacidiphilus albus
species:ncbi:83551	de Parachlamydia 
species:ncbi:114594	Psychoda alternata 
species:ncbi:65774	Urginea altissima
species:ncbi:53457	s de Janibacter 
species:ncbi:55193	Malassezia 
species:ncbi:701042	Mycobacterium marseillense
species:ncbi:93468	Bispora
species:ncbi:56798	hipopótamo pigmeo
species:ncbi:99293	Hura 
species:ncbi:84782	Quiscalus quiscula 
species:ncbi:94987	Hexanchus griseus 
species:ncbi:104260	Penicillium ochrochloron var. paraherquei
species:ncbi:36298	Zosterops
species:ncbi:135575	Idiomarina
species:ncbi:31277	Hymenostomatida
species:ncbi:114336	Perissocephalus tricolor
species:ncbi:29135	Dugongidae
species:ncbi:53417	Lonepinella koalarum
species:ncbi:1317	Streptococcus mutans, sero h
species:ncbi:49894	Acetomicrobium 
species:ncbi:475963	Caldilineales 
species:ncbi:61624	Bacillus mucilaginosus 
species:ncbi:83554	Chlamydia psittaci
species:ncbi:2163028	mosquitero capirotado
species:ncbi:186541	virus Ébola de Costa de Marfil 
species:ncbi:82373	de Anaerovibrio 
species:ncbi:58210	cuitacloche rojizo
species:ncbi:61624	Bacillus mucilaginosus
species:ncbi:1766045	Protospirura muricola
species:ncbi:33585	Mycteria
species:ncbi:410072	Coprococcus comes
species:ncbi:1109061	Jacamerops aurea
species:ncbi:330943	Kocuria aegyptia
species:ncbi:6268	Anisakis 
species:ncbi:55544	Platysternon megacephalum
species:ncbi:8915	gaviota sombría
species:ncbi:69364	Chrysomya bezziana 
species:ncbi:58343	Streptomyces canus 
species:ncbi:196244	sub boinae (concepto no activo)
species:ncbi:126758	Gomphrena physocarpus 
species:ncbi:82981	Leminorella grimontii
species:ncbi:51883	Aspidites melanocephalus 
species:ncbi:80367	Podiceps grisegena 
species:ncbi:54133	Pygathrix nemaeus 
species:ncbi:649775	Synergistia
species:ncbi:1774	Mycobacterium chelonae, sub chelonae 
species:ncbi:42460	Microbacterium ammoniaphilum 
species:ncbi:215	Campylobacter fennelliae (concepto no activo)
species:ncbi:1003837	Fulica alai 
species:ncbi:6021	peritrichida
species:ncbi:563	Escherichia blattae 
species:ncbi:27458	Chrysops 
species:ncbi:722430	Syngnathus dunckeri
species:ncbi:1763	Mycobacterium
species:ncbi:66679	Daphne 
species:ncbi:204434	Acidobacteriaceae
species:ncbi:85759	Phlebotomus sergenti 
species:ncbi:76803	Arteriviridae 
species:ncbi:55513	pistachero
species:ncbi:9604	Hominidae
species:ncbi:8598	víboras topo
species:ncbi:8984	guacharaca norteña
species:ncbi:157547	Bothrops caribbaeus 
species:ncbi:227180	Chionididae
species:ncbi:315370	Sasia
species:ncbi:63128	Natronorubrum tibetense 
species:ncbi:467210	Eubacterium saburreum
species:ncbi:248906	Zobellia laminariae
species:ncbi:45537	Candida catenulata 
species:ncbi:2056420	Haemaphysalis bancrofti
species:ncbi:120793	complejo Mycobacterium avium
species:ncbi:8899	ardeidae
species:ncbi:663933	ornithonyssus de bursa 
species:ncbi:38305	Corynebacterium vitaeruminis 
species:ncbi:54565	Desulfovibrio simplex
species:ncbi:51899	Anodorhynchus
species:ncbi:129578	Oceanimonas baumannii 
species:ncbi:1311	estreptococo hemolítico beta del  B
species:ncbi:39513	Agave lecheguilla 
species:ncbi:416916	Aggregatibacter
species:ncbi:61647	Pluralibacter gergoviae
species:ncbi:168547	Robinia viscosa
species:ncbi:592663	Gray-headed greenlet
species:ncbi:43583	Sarcoramphus papa 
species:ncbi:33950	Clostridium thermosulfurigenes 
species:ncbi:2055876	Metakosakonia
species:ncbi:6210	equinococo granuloso
species:ncbi:153497	Kozakia
species:ncbi:51229	Wigglesworthia glossinidia
species:ncbi:662894	Aedes flavescens
species:ncbi:53407	Pseudomonas asplenii 
species:ncbi:1625	Lactobacillus sanfrancisco
species:ncbi:212790	Sulfurihydrogenibium
species:ncbi:109996	rábano silvestre
species:ncbi:202952	Acinetobacter gerneri
species:ncbi:9838	camello árabe
species:ncbi:1442639	Helichrysum argyrosphaerum
species:ncbi:64802	picotuerto rojo 
species:ncbi:96746	Lygosoma
species:ncbi:5476	Candida albicans,  albicans
species:ncbi:191785	ancylidae
species:ncbi:137536	pita africana
species:ncbi:299467	Leptotrombidium deliense 
species:ncbi:47920	Acidovorax delafieldii
species:ncbi:669464	Paenibacillus filicis
species:ncbi:10492	de virus de las ranas
species:ncbi:984996	Mobilicoccus
species:ncbi:870	Bacteroides nodosus
species:ncbi:62320	Haloterrigena turkmenica
species:ncbi:307038	narcine brasiliensis 
species:ncbi:833	Bacteroides succinogenes
species:ncbi:114975	Sporosarcina aquimarina 
species:ncbi:202789	Actinobaculum massiliae
species:ncbi:84968	Lankesterella 
species:ncbi:118786	Common jaçana 
species:ncbi:2332	Propionigenium
species:ncbi:34605	Otobius
species:ncbi:109383	Sclerotium
species:ncbi:56781	Corvus corax 
species:ncbi:4479	hierba
species:ncbi:555484	Haemulon album
species:ncbi:88	s de Leptothrix 
species:ncbi:1332058	Lyticum flagellatum
species:ncbi:176018	periquito cachetigrís
species:ncbi:51786	Marsilea drummondii
species:ncbi:150022	Finegoldia
species:ncbi:586819	Emblemaria pandionis 
species:ncbi:8955	sub Accipitrinae 
species:ncbi:142588	Isobaculum melis 
species:ncbi:385036	Myotis sodalis
species:ncbi:59525	antilopa cervicapra
species:ncbi:1306	especes de estreptococo
species:ncbi:4022	arce
species:ncbi:173479	Gemmatimonas 
species:ncbi:59549	sub Reduncinae 
species:ncbi:698645	Luteimonas lutimaris 
species:ncbi:61653	Methylopila
species:ncbi:69308	Gazella thomsoni 
species:ncbi:72122	Paxillus atrotomentosus 
species:ncbi:87005	Lantana 
species:ncbi:51765	Sparisoma radians
species:ncbi:1760	Actinobacteria 
species:ncbi:36261	Manucodia comrii
species:ncbi:44938	Achromatium oxaliferum
species:ncbi:348696	Prosopium cylindraceum
species:ncbi:6201	Cyclophyllidea 
species:ncbi:78120	Succinispira mobilis 
species:ncbi:76861	Cellulomonas persica 
species:ncbi:1351	Enterococcus faecalis 
species:ncbi:70796	virus de la encefalomielitis aviaria 
species:ncbi:1441095	Bacillus gobiensis 
species:ncbi:8873	sirirí de vientre negro
species:ncbi:282305	Dietzia papillomatosis
species:ncbi:30668	Lasiorhinus latifrons
species:ncbi:1073	de Rhodopseudomonas 
species:ncbi:378266	Meripilaceae 
species:ncbi:137214	Melopyrrha
species:ncbi:265291	Comamonas badia
species:ncbi:9597	chimpancé pigmeo
species:ncbi:56266	Asio
species:ncbi:62292	Chimarrogale 
species:ncbi:70774	Hydrogenophilus
species:ncbi:13596	alheña
species:ncbi:301148	Caldibacillus debilis
species:ncbi:35933	Podophyllum peltatum 
species:ncbi:34912	Kinosternidae
species:ncbi:176023	Eclectus 
species:ncbi:34680	Syrphidae
species:ncbi:588605	Robinsoniella 
species:ncbi:284566	Culex taeniopus
species:ncbi:77856	virus de la enfermedad del pico y las plumas de las psitacinas 
species:ncbi:86973	Okapia johnstoni 
species:ncbi:238	Elizabethkingia meningoseptica
species:ncbi:6939	: Ixodidae
species:ncbi:2107	Mycoplasma pulmonis
species:ncbi:41976	Porphyromonas catoniae
species:ncbi:10016	Dipodomys
species:ncbi:180164	Ruminococcus schinkii
species:ncbi:1390658	Blaps judaeorum 
species:ncbi:48381	Thermothrix
species:ncbi:8884	Oxyura jamaicensis 
species:ncbi:144786	Thermobifida cellulosilytica
species:ncbi:244734	Bradyrhizobium betae 
species:ncbi:227045	s de Ochroconis
species:ncbi:309805	Persephonella marina 
species:ncbi:65403	Acidaminobacter hydrogenoformans
species:ncbi:6187	Schistosoma intercalatum 
species:ncbi:74783	Cylicocyclus ultrajectinus 
species:ncbi:565376	Ancalochloris 
species:ncbi:1413	Bacillus cellulosilyticus 
species:ncbi:8937	Alcedinidae
species:ncbi:109281	caballito listado del Atlántico
species:ncbi:202954	Acinetobacter tandoii
species:ncbi:669	Vibrio trachuri 
species:ncbi:501496	Porphyromonas bennonis
species:ncbi:62352	virus Eyach
species:ncbi:103694	dragón acuático australiano
species:ncbi:53423	Thermodesulfovibrio islandicus
species:ncbi:57387	momotidae 
species:ncbi:244363	Haloarcula californiae
species:ncbi:116188	Streptomyces coeruleorubidus 
species:ncbi:119418	turaco capucha
species:ncbi:4557	sorgo
species:ncbi:1354735	virus de la nefritis aviaria
species:ncbi:1028384	Glomerellales
species:ncbi:111975	picafollas coronado 
species:ncbi:83612	Psychroflexus
species:ncbi:1333	Streptococcus criceti 
species:ncbi:45634	Streptococcus cristatus
species:ncbi:133925	Olsenella
species:ncbi:227892	Habronema muscae
species:ncbi:2502162	lirón espinoso 
species:ncbi:34922	grulla australiana 
species:ncbi:939	Hydrogenobacter
species:ncbi:8781	Lapemis hardwickii
species:ncbi:254400	Kinixys
species:ncbi:223776	Busarellus
species:ncbi:206045	Vulcanithermus mediatlanticus
species:ncbi:158850	Providencia rustigianii 
species:ncbi:5579	Aureobasidium 
species:ncbi:508460	Cloacibacillus evryensis 
species:ncbi:416916	Aggregatibacter
species:ncbi:13264	Treponema innocens
species:ncbi:168933	Legionella drancourtii 
species:ncbi:161889	Corynebacterium lipophiloflavum
species:ncbi:12059	:  Enterovirus
species:ncbi:274059	loro arco iris de cabeza amarilla
